Control,Plate_ID,Compound/Gene Accession,BNIP3L ,NDRG1,ALDOC,LOXL2,BNIP3,ACSL5,PPIB,BNIP3L ,NDRG1,ALDOC,LOXL2,BNIP3,ACSL5,PPIB,BNIP3L ,NDRG1,ALDOC,LOXL2,BNIP3,ACSL5,PPIB
FALSE,1,DLL1,0.091697126114450,0.067550009852036,0.015602752046483,0.030338684534828,0.412048868529146,0.153117483376796,2749,0.095993210577344,0.110640926970624,0.008475408227558,0.035099244942388,0.412162787066256,0.232060362230643,2130,0.099190985172604,0.086006267953358,0.010652552985086,0.044356532101833,0.328570138384250,0.138221240781894,1971
FALSE,1,DLK1,0.093755865664967,0.244803377961189,0.016934450476510,0.051062883237598,0.324933823702528,0.166878952588439,4081,0.086169460255017,0.217889549341183,0.010000589186989,0.032262174705972,0.197956868153417,0.162680817254106,3674.5,0.081956179492701,0.133762056456700,0.007298287516868,0.032543183681773,0.238570250961234,0.175458010548972,4105.5
FALSE,1,SEPT11,0.089376778514584,0.163806288037764,0.016963616128075,0.020294972266921,0.407302121607413,0.265412650272588,3745,0.091278522792551,0.183876979730044,0.019291345195311,0.020255912455077,0.513149782195275,0.231597675739498,4185,0.098289965050693,0.086399482521296,0.011116545796714,0.009146525022613,0.338210352182306,0.210159001865727,3062.5
FALSE,1,DIRAS1,0.157515305178291,0.069387771091402,0.012307465967307,0.010230897635375,0.281906813061855,0.130722508895553,3076,0.200820810563186,0.074893148539130,0.008165522157588,0.008803453576150,0.327896749140654,0.151508711908376,2173,0.146062203099860,0.063026421949248,0.006914549204141,0.011259088969575,0.225854877101626,0.148081496230272,2680
FALSE,1,AAMP,0.232639663136497,0.340140220223250,0.015524148771845,0.059815268565352,0.611172939462158,0.278822614679978,3852.5,0.246248147323527,0.249686990563806,0.014699369144723,0.054212352258520,0.478268923594134,0.247529285001278,4197,0.186226790919940,0.189420210619831,0.010252557983860,0.041178306656485,0.529519408658186,0.185218342593659,2562
FALSE,1,DEDD,0.154694152880028,0.087445129822724,0.015167142431779,0.024904073375637,0.262522638140168,0.150414183234376,7876,0.114620284627006,0.055878006055777,0.011160786008489,0.015185582732790,0.209141277636955,0.157534988349914,8990,0.129263992464733,0.034597993427349,0.006146664789752,0.016378837314011,0.186534713499792,0.141410096540292,4722
FALSE,1,ABCB4,0.046424918662271,0.064528473169102,0.007573200092499,0.021733882170219,0.226210284667691,0.208972238742860,7238,0.039966978311254,0.125546270620226,0.013988442408939,0.013338979011381,0.319935661381586,0.163639796823139,7732.5,0.054985335108404,0.068196097439644,0.012139619439518,0.019994667312147,0.398643679535929,0.207087625732950,914
FALSE,1,DDB2,0.103782193309114,0.076094574314346,0.012417688418508,0.024151302498367,0.299949205776648,0.124779797161511,22561.5,0.115473467664682,0.114891248499986,0.013670020804422,0.018703790665855,0.285372297662497,0.173998623282548,20030,0.104327937563583,0.042461470588378,0.006364004191379,0.018987684636572,0.220705751915760,0.119664144385430,4906
FALSE,1,ABCC10,0.113664804510408,0.146869745414681,0.012604324506520,0.016850942799039,0.301871313091633,0.217029300821940,3718,0.122592169645013,0.107351703625895,0.016376816555632,0.011630881961959,0.395316298408183,0.182818748080213,2762.5,0.074365108564281,0.106459523839392,0.009784882705827,-0.002739767157631,0.267910088485529,0.211157768791736,1030
FALSE,1,DAZ,0.138643132831443,0.119376648432523,0.021017982980640,0.027028027133601,0.307989005507155,0.301910275135303,5222.5,0.114955715333063,0.136495118411942,0.014990793351601,0.026391686190055,0.302537879509012,0.254172846222006,4339,0.188137483320252,0.129578134207326,0.013393893680084,0.020246583469895,0.280493052532925,0.346060834385431,962
FALSE,1,ABCD3,0.121925440561019,0.043693053994150,0.023469715970061,0.026077462188957,0.209045451996370,0.071260656879618,3266,0.111135122980502,0.037365579049069,0.025482775417655,0.028642364822540,0.296177163344823,0.079058421848305,3284.5,0.091378199170232,0.024486240946956,0.028604381469853,0.023484531090035,0.342696072162171,0.054982741035438,2130.5
FALSE,1,DAXX,0.069402695263354,0.103713701526846,0.012295753097838,0.023693721048851,0.299821204903163,0.252160523847733,5177,0.058140318206641,0.129087991132737,0.010905272335379,0.022064155655301,0.258524697369222,0.266450040636212,6421.5,0.077748782770770,0.045293109692032,0.006846632860423,0.010335782298909,0.199144850026740,0.254115411934948,2737
