Gene Symbol,probe1,probe2,probe3,probe4,probe5,probe6,,probe1,probe2,probe3,probe4,probe5,probe6,,probe1,probe2,probe3,probe4,probe5,probe6
analyte11,0.111952131,0.074976261,0.015554081,0.016019773,0.235080848,0.0719027,,0.166256315,0.159617608,0.01529789,0.025255951,0.384467728,0.1127137,,0.2360654,0.186857401,0.039632388,0.023141059,0.505778431,0.125014916
analyte11,0.21940585,0.197924859,0.03836605,0.028574715,0.462990305,0.147869152,,0.195638616,0.14834975,0.027458051,0.025741923,0.263711702,0.141675918,,0.21582867,0.155573366,0.021150458,0.030644663,0.334083229,0.120510608
analyte11,0.210315917,0.167793764,0.020923599,0.029023057,0.308994309,0.130941232,,0.160297917,0.099667994,0.013300581,0.014509725,0.255993009,0.100531668,,0.162064034,0.121809902,0.020800462,0.02858193,0.265692237,0.107593759
analyte11,0.264510759,0.327735282,0.056945081,0.039052971,0.657879118,0.129029639,,0.215719085,0.145865858,0.031076987,0.026037476,0.352765798,0.158184663,,0.213712774,0.200306438,0.035250779,0.032017486,0.470483547,0.106462083
analyte11,0.148161142,0.10231471,0.021062123,0.022696253,0.263094969,0.106400036,,0.146923727,0.16072814,0.01731148,0.02119164,0.35369145,0.106704383,,0.264644615,0.231574775,0.067514011,0.030063491,0.702111355,0.106252966
analyte11,0.21718725,0.179442905,0.028229624,0.027600552,0.372174965,0.150348306,,0.173256527,0.124574229,0.02155462,0.023603538,0.270047424,0.127032931,,0.196286729,0.13389559,0.025412121,0.028216217,0.26779118,0.119524597
analyte11,0.178870799,0.143557251,0.018731534,0.028634682,0.325959404,0.127435848,,0.198569385,0.147965966,0.028243769,0.021496646,0.407808639,0.140434295,,0.176217699,0.137889586,0.021759985,0.020767424,0.283566956,0.09276625
analyte11,0.241366169,0.289278325,0.033677385,0.033816261,0.593485801,0.155471476,,0.178944426,0.139824967,0.029955454,0.027984701,0.306452183,0.142584022,,0.215742151,0.18714288,0.03387766,0.034933338,0.437434485,0.141844706
,,,,,,,,,,,,,,,,,,,,
LPA,0.177679893,0.247345301,0.021711427,0.023051772,0.274021976,0.265757416,,0.122912793,0.198048998,0.01499451,0.016631068,0.254644816,0.231489337,,0.112274582,0.148761251,0.020929391,0.023425881,0.219922464,0.279375557
APOC2,0.241599898,0.161329873,0.060905112,0.030121084,1.062336007,0.09241235,,0.331208043,0.270046929,0.077337413,0.024747587,1.508350826,0.122155297,,0.391116344,0.199744461,0.08269081,0.021671703,1.173571806,0.113113342
NOX5,0.164375962,0.21490145,0.02397011,0.02053718,0.375631056,0.175149927,,0.232001759,0.262225137,0.024569253,0.030419459,0.60434668,0.289158109,,0.169953807,0.201683177,0.029740972,0.025228109,0.412226774,0.184481872
SURB7,0.126336935,0.685772759,0.04039523,0.020815239,0.470997341,0.162684757,,0.122531022,0.437881376,0.031070598,0.016981801,0.340038181,0.144935583,,0.101867619,0.420203927,0.033321956,-0.002273831,0.256653481,0.139020635
PDHX,0.263421228,0.274194565,0.039761019,0.035449295,0.291250358,0.148079637,,0.274182157,0.333558861,0.039159224,0.032687603,0.368519135,0.201988938,,0.206184057,0.243243015,0.038269632,0.044271706,0.323393784,0.21250419
NCOA3,0.163058912,0.120336087,0.06412307,0.031407218,0.393541603,0.094742,,0.201422759,0.111281945,0.051735168,0.027129459,0.309315668,0.117362982,,0.240789691,0.151926283,0.068455656,0.02575182,0.441050424,0.151502196
PTGDS,0.135731176,0.286174199,0.019841747,0.028858246,0.343359306,0.200502133,,0.128237193,0.255666303,0.016077849,0.017050232,0.299047995,0.259136704,,0.150836534,0.196359406,0.024808247,0.02531995,0.29725076,0.235248817
CREBBP,0.470913863,0.29047686,0.151804323,0.016314416,0.624790469,0.028748112,,0.40791718,0.258687281,0.103631874,0.013973843,0.417682542,0.041147253,,0.379704628,0.184878705,0.106865068,0.017615801,0.410851569,0.035872995
PUNC,0.468828891,0.59450833,0.099352785,0.021445077,0.996885699,0.459996905,,0.309518759,0.595745253,0.084462628,0.017638206,1.087607415,0.477972843,,0.328859333,0.388217521,0.097443001,0.023878573,0.600145253,0.34094975
MADD,0.270117243,0.470911514,0.061898663,0.050820202,1.39230256,0.086544646,,0.255542306,0.355119885,0.061971375,0.029441031,1.133580048,0.082517267,,0.382733454,0.659679795,0.11879341,0.060092357,1.66925826,0.108636887
RAB11A,0.11246758,0.134797585,0.027250751,0.014882557,0.236149524,0.163627911,,0.075294342,0.118758533,0.016255829,0.007849431,0.207132954,0.146914777,,0.181734724,0.257138922,0.03682485,0.02040915,0.548346559,0.240209312
CASP1,0.085075406,0.395961616,0.025297254,0.006058066,0.332110562,0.112031991,,0.103723618,0.34665107,0.043519709,0.0116622,0.515776582,0.144513419,,0.12487998,0.298471052,0.056583643,0.015451507,0.484138566,0.099292887
RAB11B,0.16840923,0.204745756,0.026351708,0.024869567,0.427102387,0.320603584,,0.117317944,0.155820617,0.019149876,0.022507895,0.405852337,0.271901396,,0.195794976,0.201151972,0.037957221,0.02590398,0.477095354,0.216577539
TGFA,0.115270134,0.152025802,0.03338431,0.020770129,0.354423829,0.107085049,,0.106760969,0.188695489,0.038654237,0.018016405,0.364655189,0.142205296,,0.097429634,0.166781432,0.049269085,0.025978452,0.328126485,0.188693989
RAB13,0.121804388,0.131195058,0.046109093,0.02094391,0.362377043,0.080318722,,0.163031364,0.18063006,0.053479844,0.012246773,0.436126173,0.123391341,,0.151394324,0.139393343,0.057643701,0.021894208,0.55254769,0.097134293
SRCRB4D,0.269234048,0.187455134,0.054666273,0.026571169,0.486950171,0.244800853,,0.313308412,0.167357659,0.079941159,0.011259089,0.340184947,0.300466437,,0.260379118,0.168338755,0.061058184,0.023706572,0.431968118,0.258372054
RAB18,0.13957625,0.241590033,0.009696094,0.022331649,0.322834831,0.232561686,,0.140072146,0.210114981,0.009064102,0.021765563,0.355834725,0.279107623,,0.138871047,0.195507328,0.015196351,0.024377938,0.268945364,0.264986835
PLCG2,0.190726865,0.178724917,0.024420918,0.020135353,0.485901437,0.110963303,,0.272836533,0.190764285,0.028885434,0.016973723,0.480698685,0.174709235,,0.176872932,0.110732781,0.029523158,0.018983396,0.336011279,0.15261596
RAB1A,0.085666314,0.125994886,0.029737659,0.010129584,0.423508895,0.158350009,,0.080625681,0.189977267,0.031120037,0.012091833,0.493525225,0.172627158,,0.085049366,0.161785924,0.032540348,0.009821024,0.417561644,0.176989779
RAB36,0.10767686,0.175711845,0.020955831,0.030159587,0.311254072,0.102611984,,0.110275672,0.106227616,0.017854092,0.02468434,0.390031522,0.110163978,,0.082464315,0.127666383,0.023665016,0.027717872,0.313748803,0.132185446
CD79B,0.121408776,0.304027847,0.013068512,0.017073242,0.457108847,0.260775066,,0.129239452,0.285799321,0.024101539,0.01688455,0.435564589,0.262069191,,0.117048939,0.225297512,0.02034661,0.019943203,0.32348465,0.227073858
CD79A,0.059051575,0.331320723,0.01543037,0.017075154,0.333187362,0.18077325,,0.089169145,0.295929344,0.014859571,0.01749311,0.395120787,0.231454515,,0.086891728,0.245984542,0.021147828,0.018152189,0.305518771,0.207707338
OCA2,0.165889103,0.145934139,0.054791924,0.01553096,0.433897584,0.170238545,,0.300458737,0.228376312,0.052800308,0.017500629,0.750510435,0.167486964,,0.339477481,0.381797323,0.132796037,0.024336575,1.089438559,0.172412954
CD74,0.114020654,0.123507291,0.011862607,0.013491596,0.314239852,0.099882633,,0.113643269,0.109315959,0.020902963,0.010678408,0.29321522,0.13236545,,0.170966497,0.142971336,0.026180753,0.016392499,0.402647814,0.142116906
PPGB,0.146003947,0.18337778,0.02526293,0.0283185,0.401809873,0.107298446,,0.091261676,0.150400593,0.018943271,0.022857615,0.329936116,0.069768695,,0.174707379,0.125089633,0.021501811,0.02625276,0.316344134,0.104715767
CD5L,0.440775965,0.500586669,0.059528182,0.017074387,1.561537143,0.112466054,,0.426681241,0.526856919,0.085889901,0.016408961,1.787626907,0.13955109,,0.422312866,0.575701373,0.104335948,0.019240548,1.717390064,0.13728286
ABR,0.18644016,0.249442418,0.058894695,0.017235078,0.441128677,0.144073865,,0.1469534,0.201846703,0.033393862,0.017909659,0.381550316,0.101236018,,0.140618628,0.183609844,0.036275212,0.020722938,0.240692219,0.090611129
CD200R,0.135339317,0.197376697,0.01505547,0.013207048,0.320736544,0.149369454,,0.087236146,0.194310545,0.017858153,0.013780852,0.347150786,0.155874264,,0.115036178,0.179744027,0.022761319,0.020100357,0.239533555,0.160577589
ALS2,0.206120458,0.141431834,0.024152378,0.015738652,0.660427125,0.155998152,,0.123430301,0.102679361,0.015013032,0.014307256,0.310950106,0.091150753,,0.176743018,0.123910138,0.02292304,0.016495279,0.349109688,0.140446205
CD19,0.090525085,0.174111488,0.023115979,0.008310864,0.27590846,0.094297195,,0.081603688,0.169852627,0.022866481,0.009794078,0.295328605,0.129578995,,0.081774528,0.19180404,0.038503986,0.012446511,0.248948341,0.149521244
ANGPTL4,0.179237333,0.220771201,0.031786123,0.013374873,0.994860152,0.081242471,,0.108096386,0.159245726,0.017404286,0.009013382,0.625010654,0.079331163,,0.166490476,0.177526776,0.024786934,0.014579422,0.83074793,0.066763226
CD163,0.102117316,0.457087394,0.023892105,0.011336649,0.477731292,0.177362575,,0.077401646,0.439053786,0.018718524,0.010293357,0.377938354,0.140458529,,0.076860306,0.293854326,0.019730332,0.009746261,0.320378107,0.141830094
ARFGEF2,0.136620635,0.105734555,0.035972229,0.016639587,0.476987211,0.225985897,,0.115457355,0.132859796,0.037385373,0.015404521,0.347402767,0.185362139,,0.112729235,0.113881425,0.02855975,0.017782798,0.261375022,0.233748943
BTN1A1,0.227549699,0.26714392,0.038944541,0.029205932,0.53283348,0.185993245,,0.16399347,0.202555687,0.030469354,0.022880466,0.403397859,0.246915242,,0.16037803,0.18664247,0.037620321,0.027163183,0.384704262,0.194354037
ARHGDIB,0.257331839,0.398335502,0.046670659,0.018740721,0.612183587,0.098585281,,0.093016355,0.08884674,0.011536474,0.006887407,0.25953699,0.101805408,,0.134770014,0.105293297,0.019706059,0.013371818,0.380924672,0.102547544
BSG,0.369431329,0.705269694,0.046574773,0.016856067,1.010474034,0.225594415,,0.22612217,0.548274083,0.026835025,0.01148584,1.154416072,0.304472108,,0.382954286,0.845738039,0.055757028,0.017694182,1.505828097,0.2492844
ARHGDIG,0.638306242,2.059232444,0.143302452,0.05703626,1.962418229,0.243141247,,0.370243889,0.818177539,0.036904249,0.025062215,1.223133061,0.146527853,,0.546634418,1.422375275,0.091849896,0.045820372,1.709232853,0.17141434
AXIN2,0.4824405,0.590990455,0.082341201,0.033731802,1.38619351,0.229473788,,0.376744663,0.423396711,0.063756946,0.021821201,1.197815587,0.307004196,,0.481794536,0.54461305,0.083195795,0.039725295,1.64406542,0.231494413
ARHGEF3,0.24556329,0.350014829,0.040847748,0.0259426,0.816519631,0.237528784,,0.148119414,0.182379345,0.020964898,0.020779288,0.41031386,0.17331142,,0.252451097,0.317177262,0.040201364,0.029660336,0.634075039,0.180521845
ARHGEF4,0.117194827,0.107194293,0.038326201,0.014068197,0.310219576,0.099599256,,0.105444544,0.096049075,0.030686594,0.013745861,0.242339151,0.073086574,,0.113380173,0.083963061,0.041710568,0.016384401,0.233828936,0.076741319
PLCG1,0.079112246,0.102955579,0.024899683,0.020684343,0.342113263,0.120665374,,0.115920815,0.118476815,0.024023279,0.018044734,0.330269434,0.159905827,,0.107681866,0.076849371,0.023929964,0.017488196,0.323996852,0.161261205
PLCD1,0.102621551,0.156736949,0.01938776,0.011902853,0.341961157,0.092338358,,0.191114805,0.213200949,0.030882366,0.016288247,0.599488897,0.116609087,,0.213014921,0.217067795,0.048108567,0.016996693,0.678293645,0.116702166
RAB38,0.152597479,0.301433536,0.028979157,0.009255445,0.466444267,0.237947664,,0.160001656,0.28081134,0.023286521,0.002673326,0.44640064,0.232450477,,0.154188169,0.302930564,0.029023212,0.003983947,0.416990659,0.243177629
PGLYRP1,0.196183718,0.296418651,0.056350666,0.0192559,0.753557925,0.117633575,,0.230133145,0.262645398,0.054411684,0.0199507,0.846989265,0.17033615,,0.32066678,0.316571146,0.095365119,0.023614905,0.98763288,0.15433389
RAB3A,0.181230935,0.2110508,0.041253773,0.022565346,0.43632977,0.155360006,,0.167114011,0.208446411,0.034841061,0.015235722,0.476674428,0.182025295,,0.241947361,0.331801124,0.048169071,0.025586495,0.732990219,0.242304768
PDE8B,0.143793198,0.398713366,0.043598398,0.017122226,0.522425171,0.127977473,,0.147802554,0.341240119,0.038111782,0.011334078,0.327198072,0.098747297,,0.180898205,0.36425259,0.065165869,0.017256592,0.450527288,0.134043543
RAB3B,0.133764741,0.15465882,0.012481623,0.009112986,0.393375186,0.155249702,,0.113657608,0.134254606,0.013896852,0.007598034,0.390737566,0.164803192,,0.133575623,0.126132669,0.019004931,0.008453385,0.326694876,0.160299582
PDE8A,0.058035673,0.473327596,0.053293715,0.03228999,0.534841043,0.289584351,,0.07761667,0.419453956,0.053624599,0.024385151,0.523615348,0.376617737,,0.079845079,0.315545163,0.078558994,0.024008201,0.377415858,0.248560933
RAB5A,0.14698987,0.286349988,0.043622679,0.028858616,0.483250587,0.163976711,,0.139093483,0.215013586,0.036877922,0.03527979,0.52528113,0.159754201,,0.135906609,0.235232275,0.039520385,0.031457523,0.488507778,0.136807671
PBEF1,0.277428034,0.897691415,0.090404301,0.043419729,0.949605476,0.130426777,,0.279050944,0.785110737,0.080971418,0.023141998,0.93767109,0.162210768,,0.341316626,0.786392536,0.08701353,0.035224872,0.755569897,0.150445829
RAB5C,0.088690858,0.260143244,0.043304413,0.013457859,0.328699596,0.135261324,,0.089571742,0.206040359,0.030864824,0.008893421,0.349501852,0.140295996,,0.111002852,0.192296462,0.035199948,0.011836439,0.464824444,0.136044753
OASL,0.176205142,0.182673233,0.023202163,0.015175447,0.335345961,0.165407538,,0.173921882,0.184808811,0.018796821,0.018514162,0.390411291,0.201490248,,0.144764664,0.150190382,0.022656439,0.010152893,0.214899832,0.169986122
RAB6A,0.277707909,0.479757263,0.071157754,0.020271465,0.71448654,0.16906134,,0.26392284,0.446019244,0.060566424,0.022524502,0.997956029,0.164125531,,0.378483775,0.716570624,0.088380796,0.036071645,1.42691146,0.171464201
MAN1A2,0.389102016,0.56750417,0.136856162,0.040176866,1.5059583,0.154001419,,0.314164547,0.425931918,0.101155864,0.028144389,1.218120662,0.175316154,,0.373660397,0.404106877,0.151163279,0.043210742,1.202505579,0.199367598
RAB6B,0.099524293,0.168858439,0.024674347,0.00803145,0.282351585,0.07725379,,0.090137577,0.158478382,0.02355402,0.007355116,0.322792513,0.05538782,,0.076642154,0.154421137,0.025832512,0.007403186,0.272132625,0.084875888
ZFYVE9,0.419838374,1.368847674,0.131602564,0.070085905,1.73429561,0.236533092,,0.392734712,0.980620748,0.077815893,0.04893741,1.361538194,0.289291258,,0.491725895,1.101488804,0.107519804,0.055573838,1.57787993,0.238498639
RAB7,0.330855892,0.541302564,0.117273621,0.029248181,0.999352767,0.109567448,,0.265941599,0.37460846,0.060887223,0.020019661,0.676073617,0.128730726,,0.299941054,0.493013139,0.091754807,0.023657428,0.831142438,0.143789262
LTBP1,0.270013699,0.155677792,0.062775374,0.01491204,0.391415367,0.164720527,,0.228835675,0.125452152,0.036380604,0.013474512,0.314765288,0.189463302,,0.210872214,0.130898133,0.063104048,0.014746062,0.343525907,0.208232467
RAB7L1,0.108882599,0.265383291,0.033051999,0.012833878,0.254109003,0.206336141,,0.105591338,0.259610734,0.02669851,0.013170873,0.324968568,0.181619013,,0.109817205,0.199028421,0.044819299,0.016756994,0.321636603,0.221120077
RAB9A,0.126839421,0.147845933,0.026630108,0.024454711,0.263110265,0.221523859,,0.129477573,0.124620021,0.022268449,0.01790785,0.319069109,0.249862984,,0.118595028,0.143443424,0.024609729,0.022756682,0.359315555,0.207235084
AXIN1,0.082618543,0.131266761,0.009538209,0.017251458,0.25552791,0.099449143,,0.311590466,0.300309555,0.051174033,0.029284135,0.826437669,0.195202906,,0.40443449,0.41717955,0.06706173,0.037555333,1.162192176,0.184808826
APS,0.142741468,0.153627027,0.018275837,0.029885697,0.342570508,0.186232611,,0.299726645,0.378505968,0.046722632,0.040947009,0.722651164,0.225641392,,0.400272273,0.563668802,0.08587604,0.045126182,1.123184646,0.218485258
ARHGEF6,0.098709855,0.159122361,0.027934269,0.014067071,0.388941876,0.112248146,,0.212900117,0.304966221,0.040442162,0.023209998,0.740193799,0.136634928,,0.262181365,0.406669528,0.066999488,0.025640909,0.87451793,0.140838699
APOB48R,0.190127555,0.497601186,0.026738759,0.016934145,0.355396138,0.164963319,,0.217896175,0.575705903,0.042856097,0.021848873,0.358711763,0.17574208,,0.207702831,0.401454956,0.047592796,0.021771295,0.360110553,0.20034092
ARHGEF7,0.194949785,0.188701048,0.040390128,0.03055854,0.740825668,0.159278407,,0.218343036,0.250108929,0.030596326,0.021781731,0.699171563,0.113325216,,0.315951107,0.342749963,0.057597244,0.036793707,1.083033531,0.158946584
AIPL1,0.144406805,0.0949527,0.018853099,0.021303307,0.28090668,0.190379898,,0.134997991,0.0794535,0.01414128,0.022569435,0.266395876,0.155534143,,0.124349556,0.080549501,0.0262679,0.019288067,0.241041853,0.188654345
ARMET,0.150639384,0.398314539,0.057189541,0.025572883,0.583056573,0.1128312,,0.250054819,0.78990491,0.077179738,0.03916818,0.94184007,0.133994245,,0.275139491,0.703579835,0.100167552,0.038835909,0.887237789,0.097869421
AHRR,0.063909607,0.232797357,0.015814374,0.01955754,0.472233591,0.205773593,,0.134455669,0.44830042,0.020977288,0.032362283,1.013342285,0.30553704,,0.142796607,0.474963564,0.052081943,0.028916933,1.127837945,0.217048715
BCAR3,0.126179832,0.075336268,0.016369667,0.007466716,0.282580259,0.143802475,,0.109372228,0.085836483,0.008835932,0.004223439,0.212170652,0.150182761,,0.117044423,0.048537437,0.007546349,0.0046549,0.220759597,0.144213712
AGER,0.147449632,0.274767514,0.017412009,0.034586041,0.333264613,0.128088475,,0.148860298,0.208051393,0.011581573,0.028745474,0.374958153,0.145736143,,0.152745565,0.253738521,0.013428449,0.037971633,0.237935579,0.169245458
BCL2L13,0.226903183,0.179427117,0.056960809,0.020084802,1.078062688,0.162167024,,0.162655421,0.136065985,0.029135008,0.009437084,0.687612082,0.102731527,,0.320246089,0.25950279,0.07727638,0.016053785,1.08455337,0.112562987
VAV3,0.213334637,0.371973478,0.035283825,0.017056321,0.830111929,0.176439051,,0.125450313,0.184600644,0.023205676,0.012998124,0.600044158,0.200168387,,0.150746762,0.208081664,0.034282579,0.014305319,0.542158078,0.19992884
BIG1,0.315708808,1.160513377,0.034300029,0.035850284,0.746839381,0.181275227,,0.419981033,0.859216837,0.034299314,0.016747346,0.540923695,0.221376841,,0.322902404,1.153509181,0.02281477,0.031301367,0.664323846,0.239659954
TNFSF14,0.432621604,1.372571557,0.164663774,0.072068439,2.109716267,0.134432374,,0.256548945,0.452130127,0.071001146,0.029593751,1.100914995,0.099973718,,0.399347941,0.563814644,0.089506955,0.035420176,1.142832569,0.104934185
BNIP2,0.195304171,0.292638638,0.018889034,0.01229488,0.404194184,0.285036304,,0.133083744,0.277102374,0.005781396,0.014125584,0.356330295,0.206753525,,0.154341115,0.200188695,0.012299058,0.02489784,0.259623805,0.201883691
TIAM1,0.156441917,0.299163851,0.03422275,0.020926835,0.488086151,0.276893366,,0.074129656,0.299732614,0.014215564,0.021674682,0.304430943,0.278224245,,0.053260606,0.21242903,0.013711614,0.022003662,0.247033463,0.277224447
C4A,0.134450518,0.272147567,0.012160133,0.025265513,0.373156616,0.245296333,,0.129495102,0.321398947,0.005720946,0.027248399,0.407149385,0.241705641,,0.093206813,0.259367929,0.007196897,0.026826918,0.384012068,0.250779587
SCGB1A1,0.11441035,0.183611568,0.034499914,0.020920885,0.371698144,0.215552642,,0.076541937,0.146780323,0.02889024,0.020676145,0.40436804,0.217644505,,0.074427453,0.119635318,0.027127912,0.017869721,0.31176076,0.200907286
CABYR,0.65176124,0.923385618,0.115414311,0.051723329,1.907997554,0.248446544,,0.313147002,0.376723114,0.077016259,0.032423068,1.132731867,0.173779699,,0.442105524,0.560609583,0.083524259,0.043617934,1.535314759,0.202436008
CAPON,0.21804552,0.464995285,0.136266813,0.037596552,1.094523756,0.262644878,,0.175852749,0.387577438,0.079342272,0.030423288,0.702192479,0.183457746,,0.157763531,0.346675066,0.085016624,0.03217438,0.623194018,0.14609034
LOXL3,0.123971361,0.183573624,0.017710194,0.006191278,0.281632096,0.185252298,,0.122022195,0.171803773,0.025812847,0.003196149,0.259757596,0.19876322,,0.11978471,0.117138533,0.032814239,0.00379258,0.267576164,0.246571106
IRAK4,0.396332426,0.804841548,0.092946949,0.034097021,1.85429817,0.1733139,,0.28633344,0.563468418,0.085760781,0.02767834,1.409438408,0.156316548,,0.425051844,0.875575112,0.101955113,0.030891962,1.7712889,0.179418787
RAN,0.034429779,0.090551103,0.018402573,0.017332353,0.265649632,0.083894853,,0.073849164,0.121758724,0.021057392,0.00431186,0.355603003,0.088427359,,0.125870427,0.18084319,0.027295282,0.03661135,0.478511463,0.109690727
IHH,0.276395452,0.22205882,0.050618926,0.037458664,0.614104603,0.086702548,,0.238439136,0.250959131,0.052069269,0.029282878,0.567937587,0.107471639,,0.497412587,0.390655254,0.111984394,0.046348563,1.074448777,0.149427377
SDHB,0.089085068,0.207410708,0.039724671,0.025981036,0.361117947,0.122540712,,0.08897423,0.245821459,0.044362897,0.016796075,0.350711236,0.136771187,,0.11870898,0.275670892,0.055621707,0.020340662,0.518944741,0.151143026
HGF,0.140004432,0.188143796,0.030862079,0.014557531,0.360832792,0.157108413,,0.127685522,0.176811571,0.037170918,0.013226893,0.370327686,0.148931272,,0.165902104,0.220181347,0.049145721,0.016652701,0.591618753,0.165328112
TXNDC4,0.097982127,0.280307895,0.01446693,0.020101707,0.294685818,0.155213111,,0.102753064,0.265925154,0.017589945,0.013262323,0.306885851,0.203414178,,0.071575934,0.155202564,0.011036357,0.008162396,0.204324323,0.177309957
GPI,0.1810881,0.190045504,0.038318784,0.011919199,0.31861801,0.234269873,,0.17476988,0.165265641,0.033560142,0.012343699,0.296153375,0.279875321,,0.177562104,0.148252616,0.043558902,0.01295306,0.295303222,0.293877581
WWOX,0.173466532,0.10598575,0.019110474,0.014977696,0.359841473,0.052016195,,0.138489603,0.080727117,0.01975767,0.009058504,0.392211368,0.055494374,,0.146806782,0.091107465,0.022061578,0.018402919,0.332990056,0.051062275
GNAI2,0.597950569,0.810919265,0.171922591,0.027175929,1.9586772,0.153571871,,0.567141107,0.594108989,0.100678023,0.018233517,2.045277926,0.167078954,,0.536702514,0.624790092,0.159644909,0.02666757,1.688567837,0.180337419
CAT,0.392954814,0.481875761,0.072889017,0.03007481,1.35576819,0.124299893,,0.256477131,0.313145026,0.032631628,0.017564119,0.943632699,0.13581747,,0.260189497,0.335273833,0.053403138,0.026614587,0.970506824,0.122727755
GNA11,0.287113258,0.26288946,0.061409205,0.020251407,0.933097732,0.231170517,,0.236710244,0.203779419,0.054527278,0.014075653,0.808970472,0.198612931,,0.32674915,0.220905765,0.069386455,0.019421948,0.879167389,0.230358151
EPX,0.487155357,1.043457885,0.116650611,0.048658694,1.968810737,0.123234631,,0.513702114,0.867500067,0.076114305,0.027997483,1.759029305,0.127595838,,0.420399387,0.819044373,0.076824189,0.028894016,1.718133465,0.138799332
FKBP3,0.058532139,0.179194568,0.0236403,0.012023094,0.328108344,0.127127403,,0.061675592,0.171701882,0.026304519,0.007216586,0.306101732,0.094271712,,0.063742246,0.120699428,0.030233993,0.010342553,0.271004141,0.134381601
GPX2,0.243216698,0.365913721,0.044772353,0.020043194,1.161736587,0.183032441,,0.186298974,0.282104981,0.035262777,0.0126347,0.78643757,0.222014865,,0.338686755,0.480443948,0.051597361,0.02199445,1.217847603,0.169219949
FKBP1A,0.063227483,0.08826838,0.023514267,0.013130058,0.298786982,0.119118807,,0.076447118,0.173259421,0.019073705,0.009143926,0.271180448,0.195549643,,0.08548387,0.124027395,0.027107784,0.014774007,0.222258062,0.134500685
GSTZ1,0.329029821,0.526175424,0.029703468,0.030342098,0.814819617,0.168643415,,0.191480202,0.281003886,0.016502093,0.023490305,0.608967923,0.197952369,,0.220479462,0.27094228,0.021690829,0.02213627,0.617452611,0.187276014
FAAH,0.11424663,0.126007893,0.045471997,0.011321484,0.441317992,0.196378134,,0.106834118,0.129877342,0.043773971,0.011725483,0.391635785,0.178031622,,0.111481059,0.114166739,0.035344563,0.011194556,0.344712948,0.17813322
PRDX1,0.282519316,0.323175282,0.068693562,0.020292529,0.925363166,0.254385027,,0.205640371,0.2129636,0.027550741,0.011957027,0.617862829,0.236038419,,0.169322304,0.174637396,0.035565481,0.013832077,0.703684021,0.226314548
PRDX2,0.219992797,0.252531976,0.048468596,0.025966549,0.761730652,0.076745487,,0.16467435,0.231955664,0.032283048,0.021545402,0.73847764,0.101580591,,0.230762357,0.282445433,0.068155662,0.026512672,0.746316231,0.103827676
RASGRP3,0.058859114,0.155498768,0.022680133,0.004428272,0.3221494,0.316577158,,0.104933725,0.231978503,0.043713393,0.012152601,0.446450067,0.372460512,,0.083778495,0.177250288,0.048717944,0.007087546,0.346394889,0.327954942
PSCD3,0.088755543,0.160299546,0.02211453,0.017569049,0.38032124,0.139825355,,0.114636798,0.170823005,0.028011575,0.015729718,0.410279759,0.142743051,,0.138429358,0.219785446,0.037803712,0.019368094,0.664845446,0.158982273
CAST,0.152659606,0.131093204,0.044175972,0.00866543,0.377714991,0.177555569,,0.161896482,0.146871947,0.031705106,0.009335133,0.312235063,0.149803743,,0.231784054,0.181890503,0.042190725,0.011294715,0.423370674,0.16882057
PRLR,0.179458596,0.262341813,0.024087027,0.021311337,0.562742246,0.125118412,,0.198303852,0.31757297,0.039072994,0.018684929,0.801653192,0.158303162,,0.253396209,0.313273954,0.038492836,0.022381644,0.85977923,0.157654429
CSTA,0.162738847,0.187578187,0.03011623,0.010393387,0.35312389,0.26765111,,0.20128879,0.175888464,0.027449394,0.009717856,0.343668571,0.362069606,,0.163684299,0.136409857,0.021919315,0.006602147,0.230995138,0.291115613
RAPGEF2,0.088711836,0.314842321,0.02189161,0.014738522,0.325128313,0.135815094,,0.090266158,0.314938275,0.021010906,0.018374685,0.383112,0.153711959,,0.094989057,0.239353126,0.027690373,0.014795274,0.342307165,0.130688717
CSTB,0.040521354,0.271186454,0.012173762,0.00919024,0.39380012,0.275161728,,0.038259702,0.289431116,0.013600811,0.009591121,0.411104931,0.267154288,,0.048448938,0.211334107,0.015374003,0.010054577,0.370520573,0.258543371
NRG1,0.149717342,0.29355128,0.027330664,0.017274558,0.703265316,0.208802708,,0.234128214,0.480774386,0.061692933,0.019222007,1.210914681,0.216332218,,0.365996271,0.763536506,0.091934901,0.02829679,1.599585289,0.249745334
DNCL1,0.127082095,0.097452741,0.040815228,0.014627952,0.334163446,0.131729077,,0.126617539,0.141102201,0.033275775,0.014349084,0.415319826,0.111312014,,0.172652292,0.16705338,0.060432142,0.024935891,0.460139862,0.118905817
FRS2,0.092888291,0.27380753,0.009383882,0.01443803,0.272417326,0.181756712,,0.11209452,0.296264132,0.008126405,0.011953785,0.326156727,0.168816722,,0.113137564,0.248985829,0.012888413,0.016337801,0.271625226,0.210041313
DOCK1,0.358535267,0.343040775,0.102146321,0.023685145,1.398990658,0.279589372,,0.344865076,0.3580818,0.06329792,0.024516432,1.179451614,0.254628872,,0.457768214,0.571553511,0.106980791,0.023932156,1.334198482,0.270899953
DOCK2,0.276080827,0.612935481,0.061708898,0.044495435,1.276479281,0.148955724,,0.124328371,0.228259792,0.027877023,0.023983689,0.773532256,0.119823948,,0.22386286,0.341994596,0.061681016,0.031527275,1.016074161,0.159252413
